"Chick_ENSEMBL","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Human_Entrezid","Human_Symbol","Chick_Symbol","Chick_Entrezid","TF_Status"
"ENSGALG00000000003",183.276655535927,-0.0889513161414583,0.332082750054503,-0.267858887963495,0.788807940271522,0.99760185705419,56666,"PANX2","PANX2",426934,"No"
"ENSGALG00000000011",807.914304281252,0.0800544239896896,0.240522810044178,0.332835060321247,0.739258791336572,0.99760185705419,80007,"C10orf88","NULL",NA,"No"
"ENSGALG00000000044",236.429353827439,-1.34001218445551,0.579165633001197,-2.31369423201383,0.0206845005178449,0.24653029202431,117166,"WFIKKN1","NULL",NA,"No"
"ENSGALG00000000048",71.3388185262089,0.0855605613159455,0.586781373314287,0.145813356059137,0.884068731988122,0.99766044474702,NA,NA,NA,NA,"No"
"ENSGALG00000000055",791.735766684576,-0.21611913632908,0.230974594971581,-0.935683581805487,0.349436126315497,0.899262203003887,8649,"LAMTOR3","LAMTOR3",425210,"No"
"ENSGALG00000000059",5364.64379506392,1.35811648190638,0.43003538074687,3.15815056786177,0.00158773528911214,0.0410962562365376,NA,"AC092143.1","TUBB3",431043,"No"
"ENSGALG00000000067",425.133211715683,0.0103968359623173,0.316554945349895,0.0328437009594824,0.973799228669431,1,6697,"SPR","SPR",425255,"No"
"ENSGALG00000000071",297.983027686863,-0.0715499204383143,0.307151933918401,-0.232946345235523,0.815803069902539,0.99760185705419,NA,NA,NA,NA,"No"
"ENSGALG00000000081",0.889219352983291,-1.80092564218399,4.63341795540615,-0.388681888730265,0.697511481667742,NA,NA,NA,NA,NA,"No"
"ENSGALG00000000086",2239.17670635611,0.0135742262377061,0.176787548030919,0.0767827055066796,0.938796409123423,1,10440,"TIMM17A","TIMM17B",421147,"No"
"ENSGALG00000000091",1107.95544584348,0.0312994185911416,0.210166494828635,0.148926776442946,0.881611412276725,0.99760185705419,92105,"INTS4","INTS4",419028,"No"
"ENSGALG00000000094",841.197263892391,-0.0934074643369245,0.200675159855475,-0.465466001891794,0.641597778258785,0.997259583936664,51094,"ADIPOR1","ADIPOR1",421148,"No"
"ENSGALG00000000102",783.913629048069,-0.408750603207711,0.352481745361621,-1.15963623247599,0.246196942671597,0.817224477743486,29089,"UBE2T","UBE2T",421149,"No"
"ENSGALG00000000104",30.6377016895228,-0.0425939906784262,0.703341513253906,-0.0605594720001261,0.951710050909324,1,NA,NA,NA,NA,"No"
"ENSGALG00000000106",801.15786561844,0.177353471389733,0.217280250794356,0.816242943117679,0.414361200344321,0.936180562876893,55791,"LRIF1","LRIF1",421150,"No"
"ENSGALG00000000107",11.5374970082372,-1.48698194322267,1.06817823816792,-1.39207286770142,0.163900333423475,0.716120908197044,NA,NA,NA,NA,"No"
"ENSGALG00000000109",570.109164315102,-0.519698536550885,0.395422804038757,-1.31428569936484,0.188750077922622,0.756176931960663,125061,"AFMID","AFMID",769005,"No"
"ENSGALG00000000112",185.076651216887,2.75252129943803,0.644356203493752,4.27173865094126,1.93954808658708e-05,0.0013422207093328,5354,"PLP1","PLP1",396214,"No"
"ENSGALG00000000115",20.2796654926387,-1.77542697796729,1.45705526371286,-1.21850352706812,0.223032685261967,0.79618185204132,57152,"SLURP1","HEP21",395192,"No"
"ENSGALG00000000120",21.6820999221618,-2.40219449488822,1.18796274472924,-2.02211265087756,0.0431647153661502,0.375704701530713,27302,"BMP10","BMP10",395177,"No"
"ENSGALG00000000122",32562.4404550306,0.184065596139566,0.310118271398791,0.593533542249337,0.552824142120841,0.981787931601375,10399,"RACK1","RACK1",417044,"No"
"ENSGALG00000000129",1554.58264918351,-0.115558390852543,0.301123659203397,-0.383757261578997,0.701158367380132,0.99760185705419,22980,"TCF25","TCF25",425450,"Transcription Factor"
"ENSGALG00000000136",2.18320377436288,2.90926392209403,2.3385660818744,1.24403750855832,0.213485758541893,NA,NA,NA,NA,NA,"No"
"ENSGALG00000000137",3430.25317462586,0.152761334741174,0.316946564284251,0.481978200603466,0.6298214322358,0.996999883670481,6635,"SNRPE","SNRPE",396180,"No"
"ENSGALG00000000141",49.6696713439516,0.245012664823263,0.704498193923876,0.347783240519901,0.728002977023915,0.99760185705419,NA,NA,NA,NA,"No"
"ENSGALG00000000142",584.72608914906,-0.0600654392232885,0.285290582027579,-0.210541262162948,0.83324525073807,0.99760185705419,10390,"CEPT1","CEPT1",421152,"No"
"ENSGALG00000000146",2551.97809838517,0.0242200538605339,0.327751458488018,0.0738976234377898,0.94109184690225,1,6830,"SUPT6H","SUPT6H",425418,"No"
"ENSGALG00000000150",17250.1718727326,0.136834628155228,0.217136772033736,0.630177131554525,0.528578699552523,0.975577963668085,6133,"RPL9","RPL9",425468,"No"
"ENSGALG00000000151",251.437835246053,-0.465848596613904,0.474568383684628,-0.98162585757816,0.326284203878894,0.886074759656226,171019,"ADAMTS19","ADAMTS19",415600,"No"
"ENSGALG00000000154",52.7151816953051,-0.471228568593482,0.739905843051033,-0.63687639855681,0.524205357167316,0.974573836860266,79961,"DENND2D","DENND2D",421153,"No"
"ENSGALG00000000156",7707.64152439026,0.146436183861455,0.141526742576849,1.03468914210288,0.300814108407527,0.867498245098746,6046,"BRD2","BRD2",417049,"No"
"ENSGALG00000000158",11.4375408678829,0.87052837528167,0.924512430949563,0.941608080258645,0.346393331289301,0.897648711384771,3108,"HLA-DMA","DMA",417050,"No"
"ENSGALG00000000161",257.951479613957,0.142732227881254,0.301779149603561,0.472969150018341,0.636235188973944,0.997259583936664,51015,"ISOC1","ISOC1",415601,"No"
"ENSGALG00000000162",2.61186649582686,1.15195965414801,1.55352405462943,0.741513883042378,0.458381917241236,NA,NA,"AL645941.2","DMB1",106182184,"No"
"ENSGALG00000000164",66.2559024544148,-1.15296096088057,0.710725404251992,-1.62223124990728,0.104753842916178,0.586019834696951,4608,"MYBPH","MYBPHL",421154,"No"
"ENSGALG00000000168",10.1476050068977,0.970112166615709,1.15036543858693,0.843307816868493,0.399056312174886,0.928330978756053,134,"ADORA1","ADORA1",374212,"No"
"ENSGALG00000000184",19.0085568269324,-0.19182402986232,0.831475530817961,-0.230703156921063,0.817545420814048,0.99760185705419,28965,"SLC27A6","SLC27A6",769933,"No"
"ENSGALG00000000186",207.542635876469,0.0361219990350707,0.310941094257951,0.116169910321035,0.90751788334753,1,23787,"MTCH1","MTCH1",425491,"No"
"ENSGALG00000000189",595.505896414534,0.137433515157172,0.570398631515117,0.24094292581333,0.809599351994348,0.99760185705419,64848,"YTHDC2","YTHDC2",415602,"No"
"ENSGALG00000000195",142.692963005297,-0.127760717997361,0.768604969857073,-0.166224163267015,0.867980544430867,0.99760185705419,9962,"SLC23A2","SLC23A2",419520,"No"
"ENSGALG00000000201",670.975675113288,-0.5334922187972,0.289408414923635,-1.84338875888584,0.0652722701552053,0.463414759185242,9842,"PLEKHM1","PLEKHM1",419939,"No"
"ENSGALG00000000208",422.389171152885,-0.80393844236302,0.423935946734174,-1.89636771440645,0.0579114379603374,0.440967208094376,4163,"MCC","MCC",415603,"No"
"ENSGALG00000000209",352.76887224835,0.370157201385309,0.31054722690408,1.19195139842495,0.233280302785563,0.80486740438115,5621,"PRNP","PRNP",396452,"No"
"ENSGALG00000000215",507.423230879603,0.265162899180467,0.344783725181636,0.769070231028962,0.441851619279221,0.947237393071669,167227,"DCP2","DCP2",769972,"No"
"ENSGALG00000000217",65.5623120671868,0.0318995236462806,0.672397046663826,0.0474414987462449,0.962161355021053,1,8497,"PPFIA4","PPFIA4",421155,"No"
"ENSGALG00000000218",1541.25851093955,0.425000616911712,0.370719621313614,1.14642061676088,0.251621156161356,0.822448179246828,6728,"SRP19","SRP19",770061,"No"
"ENSGALG00000000220",1217.76182214685,-0.171544765229307,0.354894715644632,-0.483368045978686,0.628834432577992,0.996999883670481,324,"APC","APC",415607,"No"
"ENSGALG00000000223",996.015170882861,0.243817921942098,0.204324795186039,1.19328602150366,0.232757375104203,0.804409864729956,92703,"TMEM183A","TMEM183A",421156,"No"
"ENSGALG00000000225",117.685482375747,-0.114845321995333,0.61361354658482,-0.187162298867953,0.85153338360543,0.99760185705419,NA,NA,NA,NA,"No"
"ENSGALG00000000226",64.8132010190128,-0.0122928286330751,0.408291953756091,-0.0301079375186971,0.975980970377653,1,252839,"TMEM9","TMEM9",421157,"No"
"ENSGALG00000000227",4655.2036879682,0.458280847384624,0.218071641986457,2.10151509481038,0.0355957743420475,0.338849648212026,1808,"DPYSL2","DPYSL2",395155,"No"
"ENSGALG00000000233",201.750834774766,-0.123261256451016,0.292632368875343,-0.421215386817047,0.673597809614698,0.99760185705419,6668,"SP2","SP2",425673,"Transcription Factor"
"ENSGALG00000000234",133.500752299008,-0.160243917575446,0.442630042481619,-0.362026754164796,0.71733203764614,0.99760185705419,64097,"EPB41L4A","EPB41L4A",415608,"No"
"ENSGALG00000000235",4543.1358110244,0.24548318117833,0.204587812862538,1.19989151721012,0.230181474875792,0.801761656665065,5520,"PPP2R2A","PPP2R2A",419523,"No"
"ENSGALG00000000241",624.259585742295,-0.27812292914672,0.41961077996599,-0.662811687462516,0.507451167380068,0.972921706269745,134429,"STARD4","STARD4",769322,"No"
"ENSGALG00000000242",278.300604899259,-2.76677696597309,0.491310154949681,-5.63142637720659,1.78725268293672e-08,4.65394384300584e-06,64641,"EBF2","EBF2",395176,"Transcription Factor"
