"Gene","p","padj","loglik_full","loglik_red","df_full","df_red","mean","converge_combined","converge_case","converge_control","allZero"
"ENSGALG00000030176",0.734576830381435,1,-167.478847149239,-169.264062543475,13,7,25.3964692604349,0,0,0,FALSE
"ENSGALG00000023872",0.624568960429526,1,-281.876852546791,-284.069935980228,13,7,523.926616453015,0,0,0,FALSE
"ENSGALG00000040003",0.271396561044319,0.83046390417083,-280.579697797907,-284.364276646719,13,7,775.759138550067,0,0,0,FALSE
"ENSGALG00000037031",0.64520246758032,1,-258.196275256667,-260.312684275738,13,7,368.130383050502,0,0,0,FALSE
"ENSGALG00000038223",0.94130804763951,1,-184.979766721063,-185.854066011587,13,7,34.4138978615751,0,0,0,FALSE
"ENSGALG00000007190",0.137781473838544,0.574116458556376,-327.618574904388,-332.469509655139,13,7,2344.41916735148,0,0,0,FALSE
"ENSGALG00000007186",3.07339083824448e-14,3.58494865539964e-12,-167.928325006231,-205.66270933497,13,7,38.6891416815035,0,0,0,FALSE
"ENSGALG00000007174",0.683847634320985,1,-102.4315931636,-104.405097336704,13,7,4.29825257412526,0,0,0,FALSE
"ENSGALG00000053788",0.998363186240169,1,-46.7312507993878,-46.957805804836,13,7,0.916783535733581,0,0,0,FALSE
"ENSGALG00000039990",1.13567171179912e-06,3.61498374330313e-05,-337.35530360556,-356.343196014144,13,7,2180.27617654815,0,0,0,FALSE
"ENSGALG00000007079",0.00763059098844004,0.072613171514788,-246.095564539452,-254.842354676795,13,7,271.362111657427,0,0,0,FALSE
"ENSGALG00000035198",0.765388400189772,1,-35.4829788319168,-37.151959250566,13,7,0.666073364702191,0,0,0,FALSE
"ENSGALG00000051635",0.933002713318943,1,-205.644195547169,-206.568967778124,13,7,59.1081294100195,0,0,0,FALSE
"ENSGALG00000007038",0.105737952453147,0.486214158145576,-282.294822695522,-287.536222526357,13,7,747.993437980957,0,0,0,FALSE
"ENSGALG00000034426",0.688614430436026,1,-250.904412202594,-252.860299641919,13,7,356.253113827099,0,0,0,FALSE
