"Chick_ENSEMBL","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Chick_Entrezid","Human_Entrezid","Symbol","TF_Status"
"ENSGALG00000000003",183.276655535927,0.300603535081611,0.339160214597771,0.886317209812222,0.375446617814903,0.621968687937996,426934,56666,"PANX2","No"
"ENSGALG00000000011",807.914304281252,0.143693525596099,0.247614891347617,0.580310516924335,0.56170523649762,0.76102682150633,NA,80007,"C10orf88","No"
"ENSGALG00000000044",236.429353827439,1.62437768860857,0.596374357112966,2.72375508643956,0.0064544350440632,0.0382483268228036,NA,117166,"WFIKKN1","No"
"ENSGALG00000000048",71.3388185262089,-1.42975628109309,0.604009423153229,-2.3671092308942,0.0179276407983562,0.0821354015837606,776719,NA,NA,"No"
"ENSGALG00000000055",791.735766684576,0.132304414151197,0.236771901934279,0.55878426903848,0.576308959683934,0.77114410618128,425210,8649,"LAMTOR3","No"
"ENSGALG00000000059",5364.64379506392,0.0696886501878779,0.443838465545132,0.157013543434738,0.875234174377951,0.946419808329453,431043,10381,"TUBB3","No"
"ENSGALG00000000067",425.133211715683,0.486949622696523,0.326212029676597,1.49273962452973,0.135505356808003,0.335932712178436,425255,6697,"SPR","No"
"ENSGALG00000000071",297.983027686863,-1.44890302325847,0.313832882120401,-4.61679800239225,3.89706260631635e-06,7.59191465595905e-05,101750305,NA,NA,"No"
"ENSGALG00000000081",0.889219352983291,-5.06053658586502,4.67557460167435,-1.0823346897412,0.279103837065671,NA,417039,NA,"IL4I1","No"
"ENSGALG00000000086",2239.17670635611,0.712685558267163,0.182206708400013,3.91141228841336,9.17579801719332e-05,0.00116197714558187,421147,10440,"TIMM17B","No"
"ENSGALG00000000091",1107.95544584348,-0.10833356992945,0.21642208089215,-0.500566159806198,0.616676483418571,0.797912449234404,419028,92105,"INTS4","No"
"ENSGALG00000000094",841.197263892391,0.140985883237447,0.205954354534036,0.684549173803206,0.493628449186276,0.713919589592317,421148,51094,"ADIPOR1","No"
"ENSGALG00000000102",783.913629048069,-0.181294517947454,0.362662562809422,-0.499898629025913,0.61714645767104,0.798094863407196,421149,29089,"UBE2T","No"
"ENSGALG00000000104",30.6377016895228,0.227798303535126,0.692596891224556,0.328904600094817,0.742227797218371,0.876029762080577,395100,NA,NA,"No"
"ENSGALG00000000106",801.15786561844,-0.409098869136597,0.224280016426431,-1.82405403591002,0.0681439034539549,0.213908692711425,421150,55791,"LRIF1","No"
"ENSGALG00000000107",11.5374970082372,1.32523451409304,1.22796483439706,1.0792121052422,0.28049318450841,0.530786558569274,417040,NA,"TRIM7.1","No"
"ENSGALG00000000109",570.109164315102,0.565242236129668,0.405919956167549,1.39249679041736,0.163772012890619,0.381114723361133,769005,125061,"AFMID","No"
"ENSGALG00000000112",185.076651216887,-1.3001135501095,0.66531742141566,-1.95412521641643,0.050686410605533,0.175319734261439,396214,5354,"PLP1","No"
"ENSGALG00000000115",20.2796654926387,-3.99554465385091,1.69619622267579,-2.35559105747084,0.018493263954894,0.0840526466878588,395192,57152,"HEP21","No"
"ENSGALG00000000120",21.6820999221618,-3.14824843659544,1.63714738275657,-1.92300856340407,0.0544789744139287,0.183826311556198,395177,27302,"BMP10","No"
"ENSGALG00000000122",32562.4404550306,0.107996340749025,0.320265151428432,0.337209153938057,0.735959237169197,0.871998728490315,417044,10399,"GNB2L1","No"
"ENSGALG00000000129",1554.58264918351,0.494688846224082,0.310228140521134,1.59459694853305,0.110802395421225,0.295567051491266,425450,22980,"TCF25","Transcription Factor"
"ENSGALG00000000136",2.18320377436288,-4.7196564662359,2.32130355475591,-2.03319227964228,0.0420331007491544,0.154614152287774,693259,NA,"BLEC2","No"
"ENSGALG00000000137",3430.25317462586,0.402638372755464,0.32700000727732,1.23130998102394,0.218206950295347,0.455197856139791,396180,6635,"SNRPE","No"
"ENSGALG00000000141",49.6696713439516,-1.99003996807949,0.721347763706215,-2.7587802558018,0.00580175333659444,0.0351889430661704,693256,NA,"BLB1","No"
"ENSGALG00000000142",584.72608914906,0.0105912286210524,0.293926779155004,0.0360335613226553,0.971255598257049,0.988587681175532,421152,10390,"CEPT1","No"
"ENSGALG00000000146",2551.97809838517,0.0370030607870926,0.338623730105587,0.109274860257297,0.912984485778409,0.962663609145678,425418,6830,"SUPT6H","Transcription Factor"
"ENSGALG00000000150",17250.1718727326,0.140897616162266,0.224205720053417,0.628430069173512,0.529722244222357,0.738642421899348,425468,6133,"RPL9","No"
