"Chick_ENSEMBL","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Chick_Entrezid","Human_Entrezid","Symbol","TF_Status"
"ENSGALG00000000059",5364.64379506392,1.58553126763453,0.496365808496934,3.19427978416914,0.0014018018835083,0.0419685567727352,431043,10381,"TUBB3","No"
"ENSGALG00000000112",185.076651216887,2.45061782489962,0.746234367612822,3.28397877564801,0.00102352630196214,0.0348861648416364,396214,5354,"PLP1","No"
"ENSGALG00000000280",156.558424856109,1.6954724905105,0.537334443391201,3.15533930750858,0.00160311548168161,0.0458394974045217,396100,1946,"EFNA5","No"
"ENSGALG00000001109",146.254204956615,1.82678146714449,0.580197553872294,3.14855079093729,0.00164082206605135,0.0463631591397071,771059,121355,"GTSF1","No"
"ENSGALG00000001640",135.232508898938,1.67029257176558,0.504363504825467,3.31168404491038,0.000927362177681236,0.032925389317152,426922,79845,"RNF122","No"
"ENSGALG00000001844",76.4633667912768,1.86645886895598,0.557235230643931,3.34949903795411,0.000809578368282644,0.0297793556549373,417510,54784,"ALKBH4","No"
"ENSGALG00000002515",2236.10868402715,1.72194766018129,0.244525804017512,7.04198751988551,1.89516806491907e-12,2.04258162792122e-08,395535,10439,"OLFM1","No"
"ENSGALG00000003193",1764.91389426443,2.16376422965083,0.590786507695771,3.66251463339964,0.000249751480850735,0.0140567065987257,374211,1381,"CRABP-I","No"
"ENSGALG00000003670",826.234875563859,2.41167249753995,0.613938631375077,3.92819798965635,8.55847402736639e-05,0.00644676903114007,419173,9935,"MAFB","Transcription Factor"
"ENSGALG00000004028",310.24533784054,2.03893196291052,0.580308390363183,3.51353176478195,0.000442191539027587,0.0202650759432356,428140,8785,"MATN4","No"
"ENSGALG00000004134",8.76542314079936,4.90297777535658,1.36427734000611,3.59382775890321,0.000325855289963846,0.0163247502935262,427637,2741,"GLRA1","No"
"ENSGALG00000004446",10.0672389108938,4.17411842772797,1.23191541114239,3.38831578042942,0.000703232505628675,0.0276086376969412,378784,64106,"NPFFR1","No"
"ENSGALG00000004503",216.292441014903,1.72331613137961,0.50794004453284,3.3927550110064,0.000691934926372365,0.0274288379065861,417601,441495,"CENPVL2","No"
"ENSGALG00000004631",1690.78390537781,2.01123509684283,0.406704597133776,4.94519882739678,7.60661868347575e-07,0.000225875084251865,419492,374946,"DRAXIN","No"
"ENSGALG00000005263",380.460706656349,2.59252377026663,0.492602537518814,5.26291192758547,1.41791511861884e-07,5.64814383348365e-05,395483,30812,"SOX8","Transcription Factor"
"ENSGALG00000005400",15.9528553164189,4.83732132641062,1.21532221675934,3.98027885914023,6.88344731708674e-05,0.00567780109003336,415996,55799,"CACNA2D3","No"
"ENSGALG00000005628",719.142110022362,2.92113070984929,0.585659667260046,4.98776144772872,6.10829264729306e-07,0.000195609089246255,396242,1299,"COL9A3","No"
"ENSGALG00000006252",3131.21910113122,1.63552189548481,0.249078711109708,6.56628536496816,5.1585913775731e-11,1.68500228757048e-07,373901,8543,"LMO4","Transcription Factor"
"ENSGALG00000006473",245.139044709348,1.75471812246444,0.486563483569338,3.60634980165826,0.000310534465686698,0.0157995292635363,NA,91584,"PLXNA4","No"
"ENSGALG00000006676",116.401473605027,2.77563273401069,0.575681535420761,4.82147257334213,1.42502316206704e-06,0.000337296786708389,415492,6017,"RLBP1","No"
"ENSGALG00000006710",99.6323835968365,1.95342670975331,0.627641521382852,3.11232868317798,0.00185617712001175,0.0498603367171577,416953,9609,"RAB36","No"
"ENSGALG00000006725",58.4283252185512,3.56879176715724,0.95745795677681,3.72736133414279,0.000193494956224613,0.0118802993423322,395798,176,"ACAN","No"
"ENSGALG00000007732",86.747933283728,2.31430626201151,0.515230252170634,4.49179032531858,7.06269388076821e-06,0.00118915377794543,417001,65078,"RTN4R","No"
"ENSGALG00000007781",212.240694320692,2.77664526377642,0.761802913421226,3.64483413604527,0.000267564305816911,0.0145207389287546,417006,9514,"GAL3ST1","No"
"ENSGALG00000008554",17.3899033052169,4.30131313938724,1.27955549886545,3.36156825022525,0.000775012008580571,0.0295018361134885,769256,400935,"IL17REL","No"
"ENSGALG00000008896",45.344330669879,4.32903252891762,1.12754788032909,3.83933365885458,0.000123368679398701,0.00853753081330334,424117,151242,"PPP1R1C","No"
"ENSGALG00000009485",72.8433742816477,1.5839347264426,0.454133406078341,3.48781812842316,0.000486979208557269,0.0216123490058623,417780,83943,"IMMP2L","No"
"ENSGALG00000009739",138.22621940211,1.75111869181528,0.512349046240828,3.41782365881905,0.000631239909296678,0.0256969583304112,417810,347902,"AMIGO2","No"
"ENSGALG00000010986",78.7962963705126,3.46183478389317,0.736823234703624,4.69832467387601,2.62304221584024e-06,0.000520653874752651,771582,2786,"GNG4","No"
"ENSGALG00000011358",186.795918304878,2.85765246480109,0.882468731096529,3.23824784278788,0.0012026628202277,0.0387413987770391,395235,7475,"WNT6","No"
"ENSGALG00000012095",18.9154849710847,3.22595975009719,0.881635244872973,3.65906395967868,0.000253138162019626,0.0140567065987257,NA,NA,NA,"No"
"ENSGALG00000012290",2928.93461858661,3.25386019609089,0.669799531305111,4.85796129141912,1.18600587727988e-06,0.000293482545268712,395573,6663,"SOX10","Transcription Factor"
"ENSGALG00000013234",16.1796572703207,4.08787541913387,1.18337649557536,3.45441660740975,0.000551484741211415,0.0235781382027875,425975,60484,"HAPLN2","No"
"ENSGALG00000014930",677.291641720529,1.89307793786944,0.584237363052951,3.24025483063442,0.00119422920171186,0.0386527452896212,427203,8507,"ENC1","No"
"ENSGALG00000015075",710.310210413407,1.89302526468833,0.445360804585908,4.25054303206688,2.13252858104517e-05,0.00236928277453263,408180,NA,"B3GAT1L","No"
"ENSGALG00000015754",7.31306533923255,4.99943543610179,1.55215862866829,3.22095650777083,0.00127763535240193,0.04005055772635,NA,NA,NA,"No"
"ENSGALG00000015970",649.145597962463,2.184783918598,0.446480367195338,4.89334823907753,9.91347646550066e-07,0.000256995075610408,771873,1297,"COL9A1","No"
"ENSGALG00000016628",78.3813892046136,2.94799799688937,0.937168713431626,3.14564277983065,0.00165722282079133,0.0466371100345286,428006,57502,"NLGN4Y","No"
"ENSGALG00000016680",1143.95462562915,3.28877851516755,0.620764225553138,5.29795110573109,1.17109313347267e-07,5.0332350147041e-05,395713,7021,"TFAP2B","Transcription Factor"
"ENSGALG00000016912",563.278815414411,2.35606642417977,0.523776444033553,4.49822906512542,6.8521847268999e-06,0.00116572792666385,408082,NA,"EDNRB","No"
"ENSGALG00000017189",22.8268597611528,4.00487656170486,1.01877435384157,3.93107320242543,8.45675159972227e-05,0.00644676903114007,418985,85016,"C1H11ORF70","No"
"ENSGALG00000017860",2.69632483431895,5.99094863729251,1.83285406171286,3.26864465777148,0.00108063922033241,0.0359450096669429,112532460,NA,"SNORD94","No"
